Title,Year,Genre,Roger Ebert ,Scott Tobias,Tasha Robinson,Keith Phipps,Mike D'Angelo,Matt Singer,Peter Sciretta,Melissa Tominga
2001: A Space Odessey,1968,Sci fi,5,,,5,5,5,4,
Saltburn,2023,Thriller,,1,4.5,,2,2.5,,
12 Years a Slave,2013,Bio-pic,,4.5,4.5,5,3.5,4,,4
Airplane!,1980,Comedy,3.67,4.5,,4.5,4,4.5,3,4
Alien,1979,Horror,5,5,,5,4.5,4.5,4,5
All About Eve,1950,Drama,5,,,4,4,4,,4
Avatar,2009,Sci-fi,5,,,2.5,3,3.5,4.5,
All That Jazz,1979,Drama,5,,,4.5,4.5,,,
Amadeus,1984,Drama,5,,,4,3.5,4,,
American Graffiti,1973,Comedy,5,4.5,,5,3.5,3.5,,
An American in Paris,1951,Musical,4.33,,3,4,3,,,
Annie Hall,1977,Comedy,5,,,5,4.5,,4,
The Apartment,1960,Comedy,5,5,,5,5,,4,
Apocalypse Now,1979,Drama,5,,,5,4.5,,,
Back to the Future,1985,Comedy,4.33,,,5,4.5,4.5,5,5
Badlands,1973,Drama,5,5,4,5,5,,,5
Bambi,1942,Animation,,5,,4,2.5,,,
Beauty and the Beast,1991,Animation,5,4,,4.5,3,,3,
Being There,1979,Drama,5,,,5,3.5,,,
Ben-Hur,1959,Drama,,,,3.5,,3.5,4.5,
Tenet,2020,Sci-fi,,3.5,,,3.5,3,3.5,
The Super Mario Bros Movie,2023,Animation,,,2.5,,,2,3.5,
Bohemian Rhapsody,2018,Bio-pic,,,,2,,2,3.5,
Blade Runner,1982,Sci-fi,3.67,,,5,3.5,3.5,3.5,4
Blazing Saddles,1974,Comedy,5,4,,5,3,5,,
Bonnie and Clyde,1967,Action,5,,,5,4,,,4
Boys Don't Cry,1999,Drama,5,,,,3.5,,4,
Boyz n the Hood,1991,Crime,5,,,,3,3.5,3.5,4
Star Wars: The Last Jedi,2017,Sci-fi,,,4,,3.5,4.5,,3.5
Bride of Frankenstein,1935,Drama,,4,3.5,5,3.5,,,
Brokeback Mountain,2005,Drama,5,,,4.5,3.5,,3.5,
Butch Cassidy and the Sundance Kid,1969,Western,3,,,5,3,4,,
Cabaret,1972,Musical,4.33,4.5,,4.5,3.5,,,4.5
Carrie,1976,Horror,4.33,,,4.5,3.5,2.5,,
Casablanca,1942,Drama,5,,,5,4,,3,
Cat People,1942,Horror,4.33,4,4,4.5,4,,,4
Chinatown,1974,Crime,5,5,,5,4.5,,3.5,
A Christmas Story,1983,Comedy,5,,2.5,,3,,5,4
The Conjuring,2013,Horror,,,,,,,,
Citizen Kane,1941,Drama,5,,,5,4.5,5,3.5,5
