"Title","Year","Genre","Roger.Ebert","Scott.Tobias","Tasha.Robinson","Keith.Phipps","Mike.D.Angelo","Matt.Singer","Peter.Sciretta","Melissa.Tominga","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","cluster"
"2001: A Space Odessey",1968,"Sci fi",5,4.5,5,5,5,5,4,5,-2.51165499056443,-0.337273617036787,-0.255346630466821,0.928110923398965,0.179873779317263,0.440226981726686,-0.0451462407149247,0.108717984497206,1
"Saltburn",2023,"Thriller",5,1,4.5,4.5,2,2.5,3.5,3,3.5416968920834,-1.07801237332986,0.490640837264785,1.66910715585431,-2.41994318703228,1.59480246206076,-0.525985875883359,-0.632705379316594,4
"12 Years a Slave",2013,"Bio-pic",5,4.5,4.5,5,3.5,4,4,4,-0.612144761606616,0.0555177970668692,0.273774770086125,0.226327555898281,-0.805067615027882,0.0847745182396505,0.7326342655552,0.0335239932455725,1
"Airplane!",1980,"Comedy",3.67,4.5,2.5,4.5,4,4.5,3,4,0.251193732412292,1.53890919189974,-1.59886279772892,-0.493194596662589,0.630724355377982,-0.222162773083843,-0.466929961349125,-0.298908124544396,1
"Alien",1979,"Horror",5,5,2.5,5,4.5,4.5,4,5,-1.47730895615695,1.71724976160426,0.0586407810228579,-0.937650075236261,0.412803999609627,0.181820151642832,-0.805657453198901,0.103852667295902,1
"All About Eve",1950,"Drama",5,4,4.5,4,4,4,4.5,4,-0.204739895188029,-0.704145916535403,0.943818680189504,0.513957558673199,0.367224686886759,0.155552763318484,0.105794754335344,0.312389166012375,2
"Avatar",2009,"Sci-fi",5,2.5,4,2.5,3,3.5,4.5,3.5,2.47994794845349,-1.32720158184581,1.61323290910653,1.10508048686465,0.634555041501462,-0.282613781218516,-1.01796011988391,0.213641646155241,4
"All That Jazz",1979,"Drama",5,4.5,5,4.5,4.5,5,5,5,-2.27553044217838,-1.23066680012783,0.968547760955822,0.250067515017288,0.4162676047391,-0.0671393177255391,-0.188374414093845,0.0687343804992769,2
"Amadeus",1984,"Drama",5,4,3,4,3.5,4,3.5,3.5,1.00541084769892,1.11971031482712,0.117922820948579,0.32700877835748,0.317800866793013,-0.20162367423388,-0.225396942078896,-0.223588710219721,5
"American Graffiti",1973,"Comedy",5,4.5,3.5,5,3.5,3.5,4,4.5,-0.273716238350896,0.803704149077247,0.38396519014688,-0.497173649092759,-0.844873663811823,0.310543334415551,-0.00702991703798217,0.506135531562533,1
"An American in Paris",1951,"Musical",4.33,3,3,4,3,3.5,3.5,3,2.36932167386548,0.438910513782304,-0.116661527626609,0.228317189219221,-0.115541128373499,0.359348902160759,-0.350595959150929,-0.534304049595834,5
"Annie Hall",1977,"Comedy",5,4.5,4.5,5,4.5,4.5,4,5,-1.84684074431501,0.0301615136254158,-0.0561417733664533,0.438874725742216,-0.215027723212119,0.371014169420451,-0.156732207178493,0.323986202350533,1
"The Apartment",1960,"Comedy",5,5,3.5,5,5,4,4,4.5,-1.50706895894914,1.11123339241089,0.0562632012310465,-0.293608565523906,0.531635966749976,0.807234750665467,0.160431254800503,0.618428244046318,1
"Apocalypse Now",1979,"Drama",5,4.5,4,5,4.5,5,4,4.5,-1.7218947615007,0.392557800575554,-0.0771450069767569,0.277654534371983,0.230575504290817,0.222765481919417,-0.146193087096867,-0.466494558438696,1
"Back to the Future",1985,"Comedy",4.33,4.5,4,5,4.5,4.5,5,5,-1.84485795882028,-0.627565174935728,0.553389052404249,-0.955026236283909,0.266035079204159,0.555371456245499,-0.395716685343863,0.0966700522564591,2
"Badlands",1973,"Drama",5,5,4,5,5,4.5,4.5,5,-2.31099751301201,0.293981204750829,0.409320617135812,-0.329069904026177,0.504489248508948,0.534173888484407,-0.0951431149812373,0.464038974130626,2
"Bambi",1942,"Animation",5,5,3.5,4,2.5,3.5,5,4.5,0.216164316952431,-0.0529402203100048,1.79379373389973,-1.2917419975212,-0.520708466412028,-1.16229843446972,0.0426520776707306,0.775051492669632,2
"Beauty and the Beast",1991,"Animation",5,4,3.5,4.5,3,4,3,4,0.713061701027839,1.14386284544471,-0.506392109741918,0.672195637435909,-0.855693697603731,-0.409467467358656,-0.194125111883316,-0.131682372253137,5
"Being There",1979,"Drama",5,5,3,5,3.5,4.5,5,5,-1.4230037135433,0.52476618287655,1.21683076350817,-1.60728997447683,-0.24664403925274,-0.372657661008241,-0.551187992050373,-0.165207242327379,2
"Ben-Hur",1959,"Drama",3.67,2.5,4,3.5,3,3.5,4.5,3,2.41924646770136,-1.65150474840404,0.527613891841819,0.104554643751992,0.252097175706528,0.433020385610508,-0.326443565740002,-0.427678671985949,4
"Tenet",2020,"Sci-fi",5,3.5,3.5,2.5,3.5,3,3.5,3,2.68289302366059,0.313818080747667,0.657948582461449,1.22902279605386,1.09733055178001,-0.330342412845948,-0.121616628934505,0.96292326444474,4
"The Super Mario Bros Movie",2023,"Animation",4.33,2.5,2.5,4,3,2,3.5,2,4.07809735411095,0.819548979484879,0.277884362579193,-0.0586343902623931,-0.198271401491441,1.58978327361231,0.186749541932018,-0.0323150245728319,4
"Bohemian Rhapsody",2018,"Bio-pic",5,3.5,3.5,2,3,2,3.5,1,4.70495036972291,0.391885595257919,1.19966451639946,1.29656436987462,1.43740049012269,-0.187357494504158,1.47813575839305,0.946856802270401,4
"Blade Runner",1982,"Sci-fi",3.67,4.5,3.5,5,3.5,3.5,3.5,4,0.327966484065232,0.600649883222818,-0.992523906229718,-0.751617166360242,-0.583448473100829,0.291750201144498,0.405947772910737,0.377650933831367,1
"Blazing Saddles",1974,"Comedy",5,4,5,5,3,5,3.5,5,-1.18099641852213,-0.378587242641643,-0.459941209187447,1.09194998525297,-1.54373784205864,-0.738381820039898,-0.313290103741686,-0.482029059152854,1
"Bonnie and Clyde",1967,"Action",5,4.5,3.5,5,4,5,3,4,-0.820660355993776,1.4760256059644,-0.962498990517983,0.680520018297113,-0.0893797682822588,-0.186091041416191,0.00869859149659741,-0.790559619689279,1
"Boys Don't Cry",1999,"Drama",5,3,5,4.5,3.5,4,4,4,0.243008744810117,-1.05394380385337,0.369468387234189,1.29536098322371,-0.819850448777098,0.610772138489495,-0.136542200391429,-0.251475792332484,2
"Boyz n the Hood",1991,"Crime",5,3,4,4.5,3,3.5,3.5,4,1.19524733231615,0.0456008401773474,0.081489034044138,0.890425023862377,-1.1971818607203,0.484621878756524,-0.484721435623072,-0.0695684448726319,5
"Star Wars: The Last Jedi",2017,"Sci-fi",3.67,4,4,2.5,3.5,4.5,4,3.5,1.30986772069803,-0.993705251572685,-0.079259859239813,0.503116117436303,1.67687728691591,-1.41401493693183,-0.258881277540288,0.187258567496009,5
"Bride of Frankenstein",1935,"Drama",5,4,3.5,5,3.5,5,5,5,-1.35386830837035,-0.304521122337389,1.10293954470755,-0.82732737709118,-0.405066964414363,-0.0654328452118718,-1.07392272801869,-0.902772271457231,2
"Brokeback Mountain",2005,"Drama",5,4,4,4.5,3.5,5,3.5,3.5,-0.114230903663886,0.406714488364132,-0.23941599016217,0.915911405427004,-0.0327590581575969,-0.431565895126719,0.164593243429953,-1.10407048050222,1
"Butch Cassidy and the Sundance Kid",1969,"Western",3,4.5,4.5,5,3,4,4,5,-0.523111411996567,-0.978788574824901,-1.08787133317113,-0.978240627559276,-1.17519896913577,-0.439239605437128,0.0496572199333529,0.486523888032594,2
"Cabaret",1972,"Musical",4.33,4.5,4,4.5,3.5,4.5,3.5,4.5,-0.463058655917506,0.278061135520263,-0.688539419186194,0.202325082627501,-0.305879001147193,-0.635023880389032,-0.121666236418136,0.0563644057905486,1
"Carrie",1976,"Horror",4.33,4,2.5,4.5,3.5,2.5,5,3,1.67223905681443,0.398484800343042,1.45033120702727,-1.86090177213564,0.244585712829488,1.22542135740863,0.402418271999591,0.316404144849359,5
"Casablanca",1942,"Drama",5,4.5,2.5,5,4,5,3,4,-0.511744018613758,2.21641403193808,-0.903040866217681,0.090705754056263,0.181151684197071,-0.134410955632947,-0.477384783511107,-1.00247243467079,1
"Cat People",1942,"Horror",4.33,4,4,4.5,4,4.5,3.5,4,-0.208609634068686,0.15965149610496,-0.719754725539466,0.544711520867454,0.147096037413613,0.0825814737607302,-0.0841958229036047,-0.280802174152762,1
"Chinatown",1974,"Crime",5,5,4,5,4.5,4.5,3.5,5,-1.80771728966037,0.968582423025416,-0.547459677868164,0.326278691540857,-0.110688814762851,0.0215225326496064,-0.0700839719515678,0.494317426865453,1
